FP1     FP2     F3      F4      C3      C4      P3      P4      O1      O2      F7      F8      T7      T8      P7      P8      Fz      Cz      Pz      A1      A2      EKG     ATM     EO1     EO2     EM1     EM2     PHO    
 -0.4704 33.7451 46.3873 -11.504 115.365 104.903 200.967 148.371  100.57 89.0472 -16.971 32.1174 56.4579 80.0751 114.421 60.7978  -3.626 146.147 217.086 48.9944 -19.665 4.70573 23.6592 20.6397 20.9781 20.6942 21.4887 14.7737
 -4.1571 28.6762 46.3399 -11.351 113.981  110.75 197.345 149.924 88.8358 80.9912 -22.336 30.0026 49.1762 74.3141 101.557 54.0626 -3.3303 154.094 215.298 68.5519 -16.492  4.3639 23.6583 20.6589 21.0154 20.7375 21.5039 14.7756
 -7.1662 23.9489 46.0912 -11.005 111.564 116.403 192.863 151.311 77.4321 73.6405 -27.903  28.254 40.9031 68.7999 88.3799 47.9743 -3.0726 161.389 212.468 86.9268 -12.037 4.16623 23.6694 20.6831  21.037 20.7778 21.5213 14.7774
 -9.5638 19.5318 45.7218 -10.533 108.282 121.746 187.688  152.59 66.5296 67.2243 -33.524 26.8212 31.8937 63.6385 75.1401 42.6794 -2.8677 167.852 208.601  100.97 -3.8936 4.17435 23.6935 20.7065  21.044 20.8118 21.5349 14.7791
 -11.502 15.3045 45.2876 -9.9777 104.315 126.704 181.931 153.712 56.2164 61.8181 -39.027 25.6526 22.4537 58.8962 62.0441  38.192 -2.7443 173.317 203.694 109.989 8.29614 4.40412 23.7221  20.722 21.0448 20.8347 21.5432 14.7809
  -13.28  11.017 44.8041 -9.3508 99.8348 131.278 175.636 154.543 46.4976 57.3825  -44.26 24.6885 12.8626  54.617 49.2189 34.4336 -2.7527 177.658 197.757 115.058 20.8134 4.82876 23.7438 20.7289 21.0441 20.8429 21.5485 14.7826
 -15.355 6.28221 44.2625 -8.6522 94.9975 135.517 168.809 154.872 37.3023 53.7782 -49.146 23.8302 3.28483 50.7517 36.6813 31.2293 -2.9648 180.787 190.841 116.898 28.3865 5.40728 23.7535 20.7322 21.0378 20.8355 21.5541 14.7843
 -18.264 0.62351 43.6668 -7.9005 89.9184 139.433 161.411 154.379 28.4652 50.7133 -53.696 22.9217 -6.3095 47.0518 24.3131 28.2373 -3.4774 182.613 183.007 115.255 28.3871 6.10836  23.752 20.7364 21.0198 20.8156 21.5628  14.786
 -22.531 -6.4722 43.0695 -7.1623 84.6393 142.916 153.311 152.622 19.6809 47.6918 -58.006 21.7461 -16.182 43.0198 11.8249 24.9077 -4.4117 182.963 174.252  110.77 22.7141 6.91189 23.7408 20.7406 20.9921 20.7881 21.5753 14.7876
 -28.613 -15.528 42.5807 -6.5564 79.0962   145.7 144.246  149.09 10.4714 44.0474 -62.253 20.0169 -26.832 37.9403 -1.2827 20.5345 -5.8939 181.544 164.438 106.301 15.9515 7.78631 23.7177 20.7417 20.9633 20.7582 21.5884 14.7893
 -36.905 -27.057 42.3503 -6.2337 73.0851 147.367 133.801 143.264 0.21928 39.0346  -66.69 17.3605 -38.963 30.9812 -15.712  14.331 -8.0121 177.974 153.277 104.966 11.1518 8.67259 23.6786 20.7396 20.9381 20.7298 21.5962 14.7909
 -47.722 -41.534 42.5478 -6.3601  66.255 147.343 121.432 134.632 -11.737 31.9033  -71.62 13.2945  -53.37 21.2717  -32.29   5.446 -10.761 171.848 140.332 106.902  7.5093 9.50155 23.6216 20.7387 20.9126 20.7048 21.5937 14.7925
 -61.271 -59.352 43.3408 -7.0972 58.1569 144.872 106.511 122.656 -26.018 21.9356 -77.373 7.22663 -70.791 7.88486 -51.858 -7.0369 -13.984 162.807 125.055 108.704 2.75533 10.2085 23.5435 20.7449 20.8807 20.6823 21.5787 14.7941
  -77.59 -80.717 44.8543 -8.5682 48.3031 139.005 88.3786 106.777 -43.152 8.48234   -84.3 -1.4999 -91.834 -10.172 -75.138 -24.027 -17.331 150.586 106.829 106.198 -2.9745 10.7164 23.4361 20.7593 20.8427 20.6615 21.5533 14.7956
